Deciles,min_prob,max_prob,No_bads,No_goods,total
0,0.015507557487401867,0.02626478946415377,12,667,679
1,0.026290258806684615,0.03354245429025377,69,639,708
2,0.033574737551904495,0.042707431377689835,55,598,653
3,0.042748145395627754,0.0563084223591257,59,639,698
4,0.056361339135619394,0.0712353658509822,8,635,643
5,0.07130125058777709,0.09303862775828556,8,675,683
6,0.09312265616792965,0.12075404756317983,9,669,678
7,0.1208597716993886,0.17257447135098364,6,658,664
8,0.17271665351799653,0.2885238970952409,321,363,684
9,0.2887282739118991,0.5033628847461215,213,454,667
